dataset,image_id,identity,path,score,score_scale,gender,ethnicity,view,rated
scut,CF54.jpg,scut_CF54.jpg,data/scut/SCUT-FBP5500_v2/Images/CF54.jpg,2.45,1-5,female,caucasian,frontal,1
scut,AM1931.jpg,scut_AM1931.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1931.jpg,3.833333,1-5,male,asian,frontal,1
scut,CM126.jpg,scut_CM126.jpg,data/scut/SCUT-FBP5500_v2/Images/CM126.jpg,2.883333,1-5,male,caucasian,frontal,1
scut,AM550.jpg,scut_AM550.jpg,data/scut/SCUT-FBP5500_v2/Images/AM550.jpg,2.466667,1-5,male,asian,frontal,1
scut,AF915.jpg,scut_AF915.jpg,data/scut/SCUT-FBP5500_v2/Images/AF915.jpg,3.166667,1-5,female,asian,frontal,1
scut,AM765.jpg,scut_AM765.jpg,data/scut/SCUT-FBP5500_v2/Images/AM765.jpg,2.716667,1-5,male,asian,frontal,1
scut,AF1934.jpg,scut_AF1934.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1934.jpg,2.45,1-5,female,asian,frontal,1
scut,AM1090.jpg,scut_AM1090.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1090.jpg,2.166667,1-5,male,asian,frontal,1
scut,AF1142.jpg,scut_AF1142.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1142.jpg,2.666667,1-5,female,asian,frontal,1
scut,AF1883.jpg,scut_AF1883.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1883.jpg,3.133333,1-5,female,asian,frontal,1
scut,AM1923.jpg,scut_AM1923.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1923.jpg,2.433333,1-5,male,asian,frontal,1
scut,AF1649.jpg,scut_AF1649.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1649.jpg,3.283333,1-5,female,asian,frontal,1
scut,CF23.jpg,scut_CF23.jpg,data/scut/SCUT-FBP5500_v2/Images/CF23.jpg,4.166667,1-5,female,caucasian,frontal,1
scut,AF505.jpg,scut_AF505.jpg,data/scut/SCUT-FBP5500_v2/Images/AF505.jpg,2.683333,1-5,female,asian,frontal,1
scut,CF318.jpg,scut_CF318.jpg,data/scut/SCUT-FBP5500_v2/Images/CF318.jpg,2.45,1-5,female,caucasian,frontal,1
scut,AF791.jpg,scut_AF791.jpg,data/scut/SCUT-FBP5500_v2/Images/AF791.jpg,2.683333,1-5,female,asian,frontal,1
scut,AM346.jpg,scut_AM346.jpg,data/scut/SCUT-FBP5500_v2/Images/AM346.jpg,2.583333,1-5,male,asian,frontal,1
scut,AM1898.jpg,scut_AM1898.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1898.jpg,2.516667,1-5,male,asian,frontal,1
scut,AM1247.jpg,scut_AM1247.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1247.jpg,2.1,1-5,male,asian,frontal,1
scut,AF1544.jpg,scut_AF1544.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1544.jpg,3.033333,1-5,female,asian,frontal,1
scut,AF1217.jpg,scut_AF1217.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1217.jpg,3.216667,1-5,female,asian,frontal,1
scut,CM261.jpg,scut_CM261.jpg,data/scut/SCUT-FBP5500_v2/Images/CM261.jpg,2.666667,1-5,male,caucasian,frontal,1
scut,AM486.jpg,scut_AM486.jpg,data/scut/SCUT-FBP5500_v2/Images/AM486.jpg,2.416667,1-5,male,asian,frontal,1
scut,AM673.jpg,scut_AM673.jpg,data/scut/SCUT-FBP5500_v2/Images/AM673.jpg,2.9,1-5,male,asian,frontal,1
scut,CM704.jpg,scut_CM704.jpg,data/scut/SCUT-FBP5500_v2/Images/CM704.jpg,2.8,1-5,male,caucasian,frontal,1
scut,CF173.jpg,scut_CF173.jpg,data/scut/SCUT-FBP5500_v2/Images/CF173.jpg,2.633333,1-5,female,caucasian,frontal,1
scut,AF538.jpg,scut_AF538.jpg,data/scut/SCUT-FBP5500_v2/Images/AF538.jpg,3.133333,1-5,female,asian,frontal,1
scut,CF600.jpg,scut_CF600.jpg,data/scut/SCUT-FBP5500_v2/Images/CF600.jpg,4.2,1-5,female,caucasian,frontal,1
scut,CF254.jpg,scut_CF254.jpg,data/scut/SCUT-FBP5500_v2/Images/CF254.jpg,2.966667,1-5,female,caucasian,frontal,1
scut,CM381.jpg,scut_CM381.jpg,data/scut/SCUT-FBP5500_v2/Images/CM381.jpg,2.983333,1-5,male,caucasian,frontal,1
scut,AM1224.jpg,scut_AM1224.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1224.jpg,2.533333,1-5,male,asian,frontal,1
scut,AM617.jpg,scut_AM617.jpg,data/scut/SCUT-FBP5500_v2/Images/AM617.jpg,2.166667,1-5,male,asian,frontal,1
scut,AF1549.jpg,scut_AF1549.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1549.jpg,2.85,1-5,female,asian,frontal,1
scut,AM236.jpg,scut_AM236.jpg,data/scut/SCUT-FBP5500_v2/Images/AM236.jpg,1.733333,1-5,male,asian,frontal,1
scut,AM1654.jpg,scut_AM1654.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1654.jpg,3.533333,1-5,male,asian,frontal,1
scut,CF339.jpg,scut_CF339.jpg,data/scut/SCUT-FBP5500_v2/Images/CF339.jpg,3.2,1-5,female,caucasian,frontal,1
scut,AM483.jpg,scut_AM483.jpg,data/scut/SCUT-FBP5500_v2/Images/AM483.jpg,2.033333,1-5,male,asian,frontal,1
scut,AF1889.jpg,scut_AF1889.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1889.jpg,3.833333,1-5,female,asian,frontal,1
scut,AF1960.jpg,scut_AF1960.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1960.jpg,2.383333,1-5,female,asian,frontal,1
scut,CM173.jpg,scut_CM173.jpg,data/scut/SCUT-FBP5500_v2/Images/CM173.jpg,3.316667,1-5,male,caucasian,frontal,1
scut,CF357.jpg,scut_CF357.jpg,data/scut/SCUT-FBP5500_v2/Images/CF357.jpg,3.033333,1-5,female,caucasian,frontal,1
scut,AM1574.jpg,scut_AM1574.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1574.jpg,3.383333,1-5,male,asian,frontal,1
scut,AM240.jpg,scut_AM240.jpg,data/scut/SCUT-FBP5500_v2/Images/AM240.jpg,4.033333,1-5,male,asian,frontal,1
scut,AM646.jpg,scut_AM646.jpg,data/scut/SCUT-FBP5500_v2/Images/AM646.jpg,2.166667,1-5,male,asian,frontal,1
scut,AF176.jpg,scut_AF176.jpg,data/scut/SCUT-FBP5500_v2/Images/AF176.jpg,2.116667,1-5,female,asian,frontal,1
scut,AF200.jpg,scut_AF200.jpg,data/scut/SCUT-FBP5500_v2/Images/AF200.jpg,2.333333,1-5,female,asian,frontal,1
scut,AF811.jpg,scut_AF811.jpg,data/scut/SCUT-FBP5500_v2/Images/AF811.jpg,2.416667,1-5,female,asian,frontal,1
scut,CM198.jpg,scut_CM198.jpg,data/scut/SCUT-FBP5500_v2/Images/CM198.jpg,2.583333,1-5,male,caucasian,frontal,1
scut,AF736.jpg,scut_AF736.jpg,data/scut/SCUT-FBP5500_v2/Images/AF736.jpg,2.15,1-5,female,asian,frontal,1
scut,AM1532.jpg,scut_AM1532.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1532.jpg,2.7,1-5,male,asian,frontal,1
scut,AF1013.jpg,scut_AF1013.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1013.jpg,3.816667,1-5,female,asian,frontal,1
scut,AM350.jpg,scut_AM350.jpg,data/scut/SCUT-FBP5500_v2/Images/AM350.jpg,2.35,1-5,male,asian,frontal,1
scut,AM79.jpg,scut_AM79.jpg,data/scut/SCUT-FBP5500_v2/Images/AM79.jpg,2.433333,1-5,male,asian,frontal,1
scut,AM850.jpg,scut_AM850.jpg,data/scut/SCUT-FBP5500_v2/Images/AM850.jpg,2.516667,1-5,male,asian,frontal,1
scut,CM676.jpg,scut_CM676.jpg,data/scut/SCUT-FBP5500_v2/Images/CM676.jpg,4.016667,1-5,male,caucasian,frontal,1
scut,AF949.jpg,scut_AF949.jpg,data/scut/SCUT-FBP5500_v2/Images/AF949.jpg,2.783333,1-5,female,asian,frontal,1
scut,AM1657.jpg,scut_AM1657.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1657.jpg,4.1,1-5,male,asian,frontal,1
scut,CF113.jpg,scut_CF113.jpg,data/scut/SCUT-FBP5500_v2/Images/CF113.jpg,2.85,1-5,female,caucasian,frontal,1
scut,AF49.jpg,scut_AF49.jpg,data/scut/SCUT-FBP5500_v2/Images/AF49.jpg,2.133333,1-5,female,asian,frontal,1
scut,AM862.jpg,scut_AM862.jpg,data/scut/SCUT-FBP5500_v2/Images/AM862.jpg,2.483333,1-5,male,asian,frontal,1
scut,CF446.jpg,scut_CF446.jpg,data/scut/SCUT-FBP5500_v2/Images/CF446.jpg,2.333333,1-5,female,caucasian,frontal,1
scut,AM1430.jpg,scut_AM1430.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1430.jpg,2.45,1-5,male,asian,frontal,1
scut,CM708.jpg,scut_CM708.jpg,data/scut/SCUT-FBP5500_v2/Images/CM708.jpg,3.983333,1-5,male,caucasian,frontal,1
scut,AM122.jpg,scut_AM122.jpg,data/scut/SCUT-FBP5500_v2/Images/AM122.jpg,3.25,1-5,male,asian,frontal,1
scut,AF883.jpg,scut_AF883.jpg,data/scut/SCUT-FBP5500_v2/Images/AF883.jpg,3.166667,1-5,female,asian,frontal,1
scut,AM552.jpg,scut_AM552.jpg,data/scut/SCUT-FBP5500_v2/Images/AM552.jpg,2.416667,1-5,male,asian,frontal,1
scut,AF1815.jpg,scut_AF1815.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1815.jpg,3.05,1-5,female,asian,frontal,1
scut,AM1369.jpg,scut_AM1369.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1369.jpg,2.583333,1-5,male,asian,frontal,1
scut,CM244.jpg,scut_CM244.jpg,data/scut/SCUT-FBP5500_v2/Images/CM244.jpg,3.0,1-5,male,caucasian,frontal,1
scut,AM1823.jpg,scut_AM1823.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1823.jpg,2.733333,1-5,male,asian,frontal,1
scut,AF1163.jpg,scut_AF1163.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1163.jpg,3.133333,1-5,female,asian,frontal,1
scut,AF472.jpg,scut_AF472.jpg,data/scut/SCUT-FBP5500_v2/Images/AF472.jpg,3.016667,1-5,female,asian,frontal,1
scut,AF796.jpg,scut_AF796.jpg,data/scut/SCUT-FBP5500_v2/Images/AF796.jpg,2.566667,1-5,female,asian,frontal,1
scut,CM185.jpg,scut_CM185.jpg,data/scut/SCUT-FBP5500_v2/Images/CM185.jpg,2.716667,1-5,male,caucasian,frontal,1
scut,AM901.jpg,scut_AM901.jpg,data/scut/SCUT-FBP5500_v2/Images/AM901.jpg,2.533333,1-5,male,asian,frontal,1
scut,AM522.jpg,scut_AM522.jpg,data/scut/SCUT-FBP5500_v2/Images/AM522.jpg,2.316667,1-5,male,asian,frontal,1
scut,AM1031.jpg,scut_AM1031.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1031.jpg,2.05,1-5,male,asian,frontal,1
scut,AF1895.jpg,scut_AF1895.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1895.jpg,3.8,1-5,female,asian,frontal,1
scut,AF1106.jpg,scut_AF1106.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1106.jpg,3.516667,1-5,female,asian,frontal,1
scut,AM1982.jpg,scut_AM1982.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1982.jpg,3.05,1-5,male,asian,frontal,1
scut,AM62.jpg,scut_AM62.jpg,data/scut/SCUT-FBP5500_v2/Images/AM62.jpg,3.533333,1-5,male,asian,frontal,1
scut,AF1710.jpg,scut_AF1710.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1710.jpg,3.716667,1-5,female,asian,frontal,1
scut,AF469.jpg,scut_AF469.jpg,data/scut/SCUT-FBP5500_v2/Images/AF469.jpg,2.883333,1-5,female,asian,frontal,1
scut,AF197.jpg,scut_AF197.jpg,data/scut/SCUT-FBP5500_v2/Images/AF197.jpg,1.95,1-5,female,asian,frontal,1
scut,AM1716.jpg,scut_AM1716.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1716.jpg,3.95,1-5,male,asian,frontal,1
scut,CM566.jpg,scut_CM566.jpg,data/scut/SCUT-FBP5500_v2/Images/CM566.jpg,2.616667,1-5,male,caucasian,frontal,1
scut,AM1284.jpg,scut_AM1284.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1284.jpg,2.366667,1-5,male,asian,frontal,1
scut,CF641.jpg,scut_CF641.jpg,data/scut/SCUT-FBP5500_v2/Images/CF641.jpg,4.45,1-5,female,caucasian,frontal,1
scut,AF40.jpg,scut_AF40.jpg,data/scut/SCUT-FBP5500_v2/Images/AF40.jpg,2.583333,1-5,female,asian,frontal,1
scut,AM714.jpg,scut_AM714.jpg,data/scut/SCUT-FBP5500_v2/Images/AM714.jpg,2.866667,1-5,male,asian,frontal,1
scut,CF24.jpg,scut_CF24.jpg,data/scut/SCUT-FBP5500_v2/Images/CF24.jpg,4.316667,1-5,female,caucasian,frontal,1
scut,AM332.jpg,scut_AM332.jpg,data/scut/SCUT-FBP5500_v2/Images/AM332.jpg,2.666667,1-5,male,asian,frontal,1
scut,AF24.jpg,scut_AF24.jpg,data/scut/SCUT-FBP5500_v2/Images/AF24.jpg,2.433333,1-5,female,asian,frontal,1
scut,AM578.jpg,scut_AM578.jpg,data/scut/SCUT-FBP5500_v2/Images/AM578.jpg,2.316667,1-5,male,asian,frontal,1
scut,AM1908.jpg,scut_AM1908.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1908.jpg,2.1,1-5,male,asian,frontal,1
scut,CM680.jpg,scut_CM680.jpg,data/scut/SCUT-FBP5500_v2/Images/CM680.jpg,3.266667,1-5,male,caucasian,frontal,1
scut,AF430.jpg,scut_AF430.jpg,data/scut/SCUT-FBP5500_v2/Images/AF430.jpg,2.816667,1-5,female,asian,frontal,1
scut,AF1708.jpg,scut_AF1708.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1708.jpg,2.75,1-5,female,asian,frontal,1
scut,CM530.jpg,scut_CM530.jpg,data/scut/SCUT-FBP5500_v2/Images/CM530.jpg,3.133333,1-5,male,caucasian,frontal,1
scut,AF581.jpg,scut_AF581.jpg,data/scut/SCUT-FBP5500_v2/Images/AF581.jpg,2.866667,1-5,female,asian,frontal,1
scut,AF1881.jpg,scut_AF1881.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1881.jpg,3.633333,1-5,female,asian,frontal,1
scut,AM514.jpg,scut_AM514.jpg,data/scut/SCUT-FBP5500_v2/Images/AM514.jpg,2.316667,1-5,male,asian,frontal,1
scut,CM380.jpg,scut_CM380.jpg,data/scut/SCUT-FBP5500_v2/Images/CM380.jpg,2.666667,1-5,male,caucasian,frontal,1
scut,AF1798.jpg,scut_AF1798.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1798.jpg,3.466667,1-5,female,asian,frontal,1
scut,AF1547.jpg,scut_AF1547.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1547.jpg,4.0,1-5,female,asian,frontal,1
scut,CF614.jpg,scut_CF614.jpg,data/scut/SCUT-FBP5500_v2/Images/CF614.jpg,3.5,1-5,female,caucasian,frontal,1
scut,CM511.jpg,scut_CM511.jpg,data/scut/SCUT-FBP5500_v2/Images/CM511.jpg,2.6,1-5,male,caucasian,frontal,1
scut,CF734.jpg,scut_CF734.jpg,data/scut/SCUT-FBP5500_v2/Images/CF734.jpg,3.9,1-5,female,caucasian,frontal,1
scut,AM948.jpg,scut_AM948.jpg,data/scut/SCUT-FBP5500_v2/Images/AM948.jpg,2.916667,1-5,male,asian,frontal,1
scut,AM1477.jpg,scut_AM1477.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1477.jpg,2.5,1-5,male,asian,frontal,1
scut,CF124.jpg,scut_CF124.jpg,data/scut/SCUT-FBP5500_v2/Images/CF124.jpg,3.0,1-5,female,caucasian,frontal,1
scut,AF1438.jpg,scut_AF1438.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1438.jpg,3.166667,1-5,female,asian,frontal,1
scut,AF285.jpg,scut_AF285.jpg,data/scut/SCUT-FBP5500_v2/Images/AF285.jpg,2.916667,1-5,female,asian,frontal,1
scut,CM127.jpg,scut_CM127.jpg,data/scut/SCUT-FBP5500_v2/Images/CM127.jpg,3.65,1-5,male,caucasian,frontal,1
scut,AM1600.jpg,scut_AM1600.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1600.jpg,4.233333,1-5,male,asian,frontal,1
scut,AF1170.jpg,scut_AF1170.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1170.jpg,4.283333,1-5,female,asian,frontal,1
scut,CF462.jpg,scut_CF462.jpg,data/scut/SCUT-FBP5500_v2/Images/CF462.jpg,2.416667,1-5,female,caucasian,frontal,1
scut,AF1975.jpg,scut_AF1975.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1975.jpg,2.116667,1-5,female,asian,frontal,1
scut,CM657.jpg,scut_CM657.jpg,data/scut/SCUT-FBP5500_v2/Images/CM657.jpg,4.083333,1-5,male,caucasian,frontal,1
scut,CM195.jpg,scut_CM195.jpg,data/scut/SCUT-FBP5500_v2/Images/CM195.jpg,2.283333,1-5,male,caucasian,frontal,1
scut,AF194.jpg,scut_AF194.jpg,data/scut/SCUT-FBP5500_v2/Images/AF194.jpg,2.783333,1-5,female,asian,frontal,1
scut,AF1087.jpg,scut_AF1087.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1087.jpg,2.766667,1-5,female,asian,frontal,1
scut,CM349.jpg,scut_CM349.jpg,data/scut/SCUT-FBP5500_v2/Images/CM349.jpg,2.733333,1-5,male,caucasian,frontal,1
scut,AM739.jpg,scut_AM739.jpg,data/scut/SCUT-FBP5500_v2/Images/AM739.jpg,1.983333,1-5,male,asian,frontal,1
scut,CF422.jpg,scut_CF422.jpg,data/scut/SCUT-FBP5500_v2/Images/CF422.jpg,2.516667,1-5,female,caucasian,frontal,1
scut,AF516.jpg,scut_AF516.jpg,data/scut/SCUT-FBP5500_v2/Images/AF516.jpg,2.766667,1-5,female,asian,frontal,1
scut,CM604.jpg,scut_CM604.jpg,data/scut/SCUT-FBP5500_v2/Images/CM604.jpg,2.666667,1-5,male,caucasian,frontal,1
scut,AM1873.jpg,scut_AM1873.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1873.jpg,2.9,1-5,male,asian,frontal,1
scut,AF1838.jpg,scut_AF1838.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1838.jpg,3.516667,1-5,female,asian,frontal,1
scut,AM1749.jpg,scut_AM1749.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1749.jpg,3.033333,1-5,male,asian,frontal,1
scut,AM1005.jpg,scut_AM1005.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1005.jpg,2.45,1-5,male,asian,frontal,1
scut,CF220.jpg,scut_CF220.jpg,data/scut/SCUT-FBP5500_v2/Images/CF220.jpg,3.116667,1-5,female,caucasian,frontal,1
scut,AF1861.jpg,scut_AF1861.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1861.jpg,3.883333,1-5,female,asian,frontal,1
scut,AM1831.jpg,scut_AM1831.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1831.jpg,3.516667,1-5,male,asian,frontal,1
scut,AM806.jpg,scut_AM806.jpg,data/scut/SCUT-FBP5500_v2/Images/AM806.jpg,2.4,1-5,male,asian,frontal,1
scut,AF1047.jpg,scut_AF1047.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1047.jpg,3.65,1-5,female,asian,frontal,1
scut,AF1962.jpg,scut_AF1962.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1962.jpg,3.616667,1-5,female,asian,frontal,1
scut,AM1142.jpg,scut_AM1142.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1142.jpg,2.266667,1-5,male,asian,frontal,1
scut,AF584.jpg,scut_AF584.jpg,data/scut/SCUT-FBP5500_v2/Images/AF584.jpg,2.566667,1-5,female,asian,frontal,1
scut,AM215.jpg,scut_AM215.jpg,data/scut/SCUT-FBP5500_v2/Images/AM215.jpg,2.216667,1-5,male,asian,frontal,1
scut,AF7.jpg,scut_AF7.jpg,data/scut/SCUT-FBP5500_v2/Images/AF7.jpg,2.566667,1-5,female,asian,frontal,1
scut,AM377.jpg,scut_AM377.jpg,data/scut/SCUT-FBP5500_v2/Images/AM377.jpg,2.666667,1-5,male,asian,frontal,1
scut,AM1728.jpg,scut_AM1728.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1728.jpg,3.6,1-5,male,asian,frontal,1
scut,AF98.jpg,scut_AF98.jpg,data/scut/SCUT-FBP5500_v2/Images/AF98.jpg,2.0,1-5,female,asian,frontal,1
scut,AM675.jpg,scut_AM675.jpg,data/scut/SCUT-FBP5500_v2/Images/AM675.jpg,2.733333,1-5,male,asian,frontal,1
scut,CF551.jpg,scut_CF551.jpg,data/scut/SCUT-FBP5500_v2/Images/CF551.jpg,4.45,1-5,female,caucasian,frontal,1
scut,AM416.jpg,scut_AM416.jpg,data/scut/SCUT-FBP5500_v2/Images/AM416.jpg,2.75,1-5,male,asian,frontal,1
scut,AF1799.jpg,scut_AF1799.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1799.jpg,3.85,1-5,female,asian,frontal,1
scut,AF1205.jpg,scut_AF1205.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1205.jpg,4.133333,1-5,female,asian,frontal,1
scut,AM39.jpg,scut_AM39.jpg,data/scut/SCUT-FBP5500_v2/Images/AM39.jpg,3.683333,1-5,male,asian,frontal,1
scut,CF420.jpg,scut_CF420.jpg,data/scut/SCUT-FBP5500_v2/Images/CF420.jpg,3.7,1-5,female,caucasian,frontal,1
scut,AF544.jpg,scut_AF544.jpg,data/scut/SCUT-FBP5500_v2/Images/AF544.jpg,2.216667,1-5,female,asian,frontal,1
scut,AM1623.jpg,scut_AM1623.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1623.jpg,3.4,1-5,male,asian,frontal,1
scut,AF750.jpg,scut_AF750.jpg,data/scut/SCUT-FBP5500_v2/Images/AF750.jpg,3.5,1-5,female,asian,frontal,1
scut,AM436.jpg,scut_AM436.jpg,data/scut/SCUT-FBP5500_v2/Images/AM436.jpg,3.166667,1-5,male,asian,frontal,1
scut,AM518.jpg,scut_AM518.jpg,data/scut/SCUT-FBP5500_v2/Images/AM518.jpg,2.016667,1-5,male,asian,frontal,1
scut,AF71.jpg,scut_AF71.jpg,data/scut/SCUT-FBP5500_v2/Images/AF71.jpg,2.7,1-5,female,asian,frontal,1
scut,AF1730.jpg,scut_AF1730.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1730.jpg,4.066667,1-5,female,asian,frontal,1
scut,CF467.jpg,scut_CF467.jpg,data/scut/SCUT-FBP5500_v2/Images/CF467.jpg,2.916667,1-5,female,caucasian,frontal,1
scut,AM1476.jpg,scut_AM1476.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1476.jpg,2.666667,1-5,male,asian,frontal,1
scut,AF530.jpg,scut_AF530.jpg,data/scut/SCUT-FBP5500_v2/Images/AF530.jpg,2.833333,1-5,female,asian,frontal,1
scut,AF1123.jpg,scut_AF1123.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1123.jpg,2.516667,1-5,female,asian,frontal,1
scut,AM359.jpg,scut_AM359.jpg,data/scut/SCUT-FBP5500_v2/Images/AM359.jpg,2.366667,1-5,male,asian,frontal,1
scut,AM1764.jpg,scut_AM1764.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1764.jpg,3.416667,1-5,male,asian,frontal,1
scut,AM1656.jpg,scut_AM1656.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1656.jpg,3.633333,1-5,male,asian,frontal,1
scut,CM412.jpg,scut_CM412.jpg,data/scut/SCUT-FBP5500_v2/Images/CM412.jpg,3.233333,1-5,male,caucasian,frontal,1
scut,AM565.jpg,scut_AM565.jpg,data/scut/SCUT-FBP5500_v2/Images/AM565.jpg,2.35,1-5,male,asian,frontal,1
scut,CM82.jpg,scut_CM82.jpg,data/scut/SCUT-FBP5500_v2/Images/CM82.jpg,2.65,1-5,male,caucasian,frontal,1
scut,CF385.jpg,scut_CF385.jpg,data/scut/SCUT-FBP5500_v2/Images/CF385.jpg,3.666667,1-5,female,caucasian,frontal,1
scut,AF1251.jpg,scut_AF1251.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1251.jpg,3.683333,1-5,female,asian,frontal,1
scut,CM253.jpg,scut_CM253.jpg,data/scut/SCUT-FBP5500_v2/Images/CM253.jpg,2.266667,1-5,male,caucasian,frontal,1
scut,AF1725.jpg,scut_AF1725.jpg,data/scut/SCUT-FBP5500_v2/Images/AF1725.jpg,3.366667,1-5,female,asian,frontal,1
scut,AM1278.jpg,scut_AM1278.jpg,data/scut/SCUT-FBP5500_v2/Images/AM1278.jpg,2.133333,1-5,male,asian,frontal,1
